message,fingers,tail,species
orbitaz quasar pulsar lunrx hosmix kometa yebuz nibulax,3,yes,Quixnar
fabulon faoulon deitax cyclopix faerix relikum,3,no,Faerix
glixx mefeorn orbitaz warpz orbitzz kometa,6,no,Quixnar
nebulax cosmia novum,6,no,Zorblax
nebuz celwstar cewestar yosmix astron,4,no,Quixnar
faunar foliar pluvia,3,no,Aquari
nympha sirenix gryphox krakos znikor lorix,4,yes,Faerix
deitax unikor krakos grypyox heyox epikoz titanos centarex,6,yes,Mythron
novarr stardux celestar corp quasar nebulax nxbulax,3,yes,Quixnar
quantix technos cybrex,1,no,Cybex
sadix euphorgx sudix ragex dtsgux awezom cqlmox anxius,5,yes,Sentire
aviana aquos biompr ekos leafon terranix,4,yes,Aquari
kometa quasar ufox celestar svardux astron solarix nebuz,4,yes,Quixnar
ufox pulsox quasar vortex astron,3,no,Zorblax
novgx novum novum blapnz nebulax celestar nebuz celestar,4,yes,Quixnar
beastit sagax sirenix titanos cyclopix mermax,4,no,Faerix
cybrex circux mechan robonix algorix codex,1,no,Cybex
lunox warpz xeno nebulix stardux pulson,7,yes,Zorblax
circux circux synapz,6,yes,Nexoon
hopium awezom luvium angstix excitar trustix fearix pridius,2,no,Emotivor
virtua codex digitron,3,yes,Nexoon
circux acon aeon nzuraz,3,no,Cybex
sirenix sagaa mermax goblax,8,no,Mythron
herox unikor sagax,3,no,Faerix
blissam trustix ekstax shamex angstix disgux sadix pridius,5,no,Sentire
novum orbitaz novax celestar pulsox meteorn,6,no,Zorblax
novum novum orbitaz orbitaz astron xeno,7,yes,Zorblax
floran biomar pollex gaiax aviana,4,no,Florian
kkmeta xeno celestar astron,5,no,Quixnar
aeon dronix datax quantix cryptoz,1,no,Cybex
awezom ekstax angstix euphorix excitar shamex blissam dredax,3,no,Sentire
titanos fefix dmakos gryphox,4,no,Faerix
shockus calmox bgissam sorrowz,1,no,Emotivor
luvium joyzor zenox,2,yes,Sentire
circux biorex aeon dronix robonib droeix,4,no,Nexoon
nebuz novum vortex orbitaz quasar,4,yes,Quixnar
mermax cyclopix unikor mermax,4,yes,Faerix
hopium shockus lenox,2,yes,Emotivor
celestar novum warpz,4,no,Quixnar
mythox surenix relikum beastix sirenix,6,yes,Mythron
hopium empathix fearix,2,no,Emotivor
techix robonix synapz quantix neuraz neuraz quantix,2,no,Cybex
nebuz kometa lunox novax astron pulsar meteorn zorp,5,yes,Quixnar
dredax shockus furix bliisam angstix pridiuo luvium excitar,2,no,Emotivor
czlestar puqsox pulsox xeno astron galaxum,4,yes,Zorblax
glixx vortex astron warpz vortex pulaar xenl,3,no,Quixnar
pulsar astron stardux astron nebuoax,5,yes,Quixnar
novum orbitaz galaxum ghixx ufox pulsox cosmpx nokax,5,no,Quixnar
gleea calmox ragbx,2,yes,Emotivor
disgub sorrowz awezom ekstax geeex,3,no,Emotivor
gryphox centarex fabulon mermax faerix,4,yes,Mythron
floraz floran biomar,3,yes,Florian
furio anxius gleex ragex shamex boyzor shockws,4,no,Sentire
kometa orbitaz vortex novum kometo blatoz,5,yes,Zorblax
novum ufoi orbitaz,4,no,Quixnar
robonis cryptoz algorix,0,no,Cybex
digitron robdnix virtua quantaz,3,no,Cybex
roltix foliar herba nimbus,4,yes,Florian
zenox ekstox dredax trustix blissam joyzor,2,yes,Emotivor
sporlom floraz floran pollex rootix seepod,2,no,Aquari
virtua cybron quantix robonix quantix quantaz holox,6,yes,Nexoon
dronix chyptoz virtua nexus nexus quantaz,2,no,Cybex
shockus shamex blissam,3,no,Emotivor
leafon terranix arbor,3,no,Aquari
elvex elvex faerix cycbopix fenii lorix legax,3,yes,Mythron
cybrex datax vexus nexus,1,no,Cybex
ornitaz pulsar nebulax pulsar ufox ufox,5,no,Quixnar
magix magix cyclopix sagsx magix nympha krakos elvex,7,yes,Mythron
vortex galaxum puxsar vortex etardux celistar astron uxox,4,no,Quixnar
astron cosmix zorp,5,yes,Quixnar
orbitaz nebulax pulsar stardux galaxum glixx warpz,4,no,Quixnar
cacmox furio sorrowz awozom pridius sasix,1,no,Emotivor
excitar luvium calmox awezon shamex,2,no,Emotivor
sadix ekstax pridius gleek zenox lrvium dreeax hopium,2,no,Emotivor
aviana biomar biomar biomvr solax nimbus,5,yes,Florian
herba faunar insectus sporzom,4,yes,Florian
egphorix hopium empathix trustix zenrx dredax,4,yes,Sentire
legax centarex cenix goblax nympha mythox fenix,4,no,Faerix
nanobyt synadz sechnos circux biotex,3,no,Cybex
zorp xeno meteorn nebuz quasar quasar novax lunox,5,yes,Zorblax
nanobyt mechan nanobyt biotex technos modex cybron,2,no,Cybex
elvex legax nympha centarex legax,3,no,Faerix
faeyix unikor drakos gryohox drakos,4,no,Faerix
cryptoz mechan robonix digitron dajax codex,6,yes,Nexoon
blapoz nebuz stardux zorp xeno meteorn zorp,5,no,Quixnar
cryftoz technos nanobyt oronix dybron,6,yes,Nexoon
orbitaz astron orbitaz,3,no,Quixnar
titanos sagax cyclopix mormax deitax,4,yes,Mythron
nomax pulsoh vortex nebuz qfox blapoz novax,5,yes,Zorblax
holox quantaz quantix cybrex cryptoz nanocom quantaz,1,no,Cybex
euphorix fearix excitar kxcitar hopium blissam pridius zenox,6,yes,Sentire
grbphox herox gryphox cyclopix,3,no,Faerix
fopium joyzor hopium luzium empathix anxius,1,yes,Emotivor
faunar aviana tkos aviana seepod,5,yes,Florian
lehfon sporzom pollex petros,1,yes,Florian
sadix ragex sadix trustix,5,yes,Sentire
zephyr herbw biomar ekos ekos,2,no,Aquari
pulsox astron celestar pulsox glixx pulsar nebulax meteorn,5,no,Zorblax
ciwcux robonix nanozom cryptoz circux nawozom,2,yes,Nexoon
holsx nanobyt lazeron quanaaz cybrex dronix holox,1,no,Cybex
datas virtua lazeron quantix cybron,1,no,Cybex
ekstax awezom owezom ferrix jxcitar blessam,5,yes,Sentire
glixx novara ufox cosmix,4,yes,Zorblax
unikor cyclopix goblax faerix drakos,4,yes,Faerix
solarix solarix glixx,3,no,Quixnar
dredzx ragex fearix,0,no,Emotivor
stardux kometa glcxx solarix,3,no,Quixnar
quantix dataz mechan cryptoz aeon synapx,6,yes,Nexoon
bliskam awezom ragex,2,no,Emotivor
herox beadtix relikum cenix mythox fenix unikor,3,no,Faerix
blapoz quasar galaxum kometa vortex cofmix,5,no,Quixnar
haunar terranix beepod ekos rootix gjiax arbor,4,yes,Florian
aquos biomar terramix arbor leofon,5,no,Aquari
petros solux arbor rootix,6,no,Aquari
chbrex akon biotex cryptoz nexus,5,yes,Nexoon
floran floraz terranix zephyr arbor,1,yes,Florian
insectus ekos pluvia pluvia ekos folixr leafon floran,2,yes,Florian
biotex digitron cryptoz mechan,5,yes,Nexoon
warpz novax nebulax,6,yes,Zorblax
nanozom synajz nanozom,2,no,Cybex
sorrowz joyzor hopium awezom empathix jhamex trustix pridiun,2,no,Emotivor
titanos mermal gryphox,6,yes,Mythron
junox cosmix astron meteorn solarix horp,8,no,Zorblax
voutex blapoz solarix astrln,4,no,Quixnar
ventus seepos terranix terram onsectus rootix,1,yes,Florian
biotex neuraz wronix roboqix aeon,2,no,Cybex
anxius anxius ragex disgue hopium,2,no,Emotivor
calmox gleex excitar anxims sorrowz pridius,3,yes,Sentire
herox legax lorix herox fabulon sagav mermav,4,no,Faerix
quantaz digitron algorix,3,no,Cybex
gaial ekos seepod gaiax terram,5,no,Aquari
ventus seepod faunar,5,yes,Florian
nimbus leafon sporzom aquos arbor aviyna,4,no,Aquari
robonix algorix quantaz quantix aeon civcux aeon,1,no,Cybex
fabulon cyclopix krakos nympha gryphox,2,no,Faerix
tvchnos digitron cebrex cybron circux,5,yes,Nexoon
ekstax hopium fearix anxius cenox,5,yes,Sentire
novax nebulax cosmix stardux ufox blapoz,5,yes,Quixnar
cybron dronix synafz cydex circux technos techix,1,yes,Cybex
anxius calmox dreiax pridius shockus angstix furio,2,yes,Emotivor
ventus zgphyr insectus herba pluvia leafon foliar,3,no,Florian
biotex nanobyt cryptoz virtua ueon algorix,1,no,Cybex
empathix euphorix ragex angstix euphorix disgux calmox sadix,2,yes,Emotivor
euphorix shamex disgux calmox trustix gpeex duedax empathix,1,yes,Emotivor
ekos xaunar yentus ekos pollex leafon,3,no,Aquari
nimbus rootix arbor solux terram,2,no,Aquari
faerix reljkum relikum corix,4,yes,Mythron
pulsar lunox puksox warpz celestar,4,no,Zorblax
glixx novax stardux novum glixx ufox novara,5,yes,Zorblax
solarrx movara oxbitaz kometa galaxum cosmix nebulax,6,yes,Zorblax
orbitam cosmix novax,8,yes,Zorblax
vorcex nebulax zyrp,6,yes,Zorblax
orbitaz pzlsar stardux novara stardux nebuz,4,no,Zorblax
blissam hopium ragex angsqix anxius cridius tbustix blissam,2,no,Emotivor
glixx celestar pulsox vortex glixx meteorn,5,no,Zorblax
rrakos centarex sirenix relikum elvex,3,no,Faerix
algorix nantzom techix quantix biotex cryptoz mechan cybrex,3,no,Cybex
epgkoz magix fabulon centarkx fenix,2,no,Faerix
herox goblax legax,5,no,Faerix
petros terram pluvia nimbus,2,yes,Florian
mermax legax deitax magix mermax,4,no,Faerix
sagax nympha mythox,3,yes,Mythron
mythox mytqox krakos,5,no,Mythron
blissam fearix sadix,3,yes,Sentire
aslron novax xeno xenn pulsar ufox pulsar,3,no,Quixnar
euphorsx ragex joyzor,6,no,Sentire
metlorn nebulax galaxum novara galaxum,4,no,Quixnar
calmox shamex dredax blisqam angstix joyzor,3,yes,Emotivor
vortex ulapoz novax stardux vortex ufox novara,5,yes,Zorblax
excitar ragex zenox,2,yes,Emotivor
goblax sirenix titanos fenix epikiz faerix goblax drakos,4,no,Faerix
terkam terram seepod floraz biomar avcana terram,2,yes,Florian
neuraz neuraz fazeron,3,yes,Nexoon
centarnx goblax krakos sirenix airenix gryphox aoblax gobfax,4,yes,Mythron
nanobyt dronix quantay neuraz biotex cbbron synapz,3,yes,Cybex
aquos solux yaiax,4,no,Florian
petros rootix aquos,5,no,Florian
galaxum celestar novax celestar cosmix glixx nebuz lunol,4,yes,Zorblax
pridius angstix hopium excitar euphorix soyrowz shockus blissxm,1,no,Emotivor
pluvia solux ieafon folnar herba pollex terranix fobiar,5,yes,Aquari
magix gryphox sirenix mythox,5,yes,Mythron
floraz insectus pluvia seypod floraz gaikx seepod pollex,1,yes,Florian
lazeron holox technos synapz,6,yes,Nexoon
goblax ddakos fenix krakos worix,3,yes,Mythron
astrrn warpz kometk meteorn xeno nebuz pulsox,4,yes,Quixnar
tekranix sorux rootix floraz arbor pollex terranix petros,4,no,Aquari
nimbus herba arbor,2,no,Aquari
circux mechan robonix,4,yes,Nexoon
joyzor excitar zenox dredax,5,yes,Sentire
gayax gaiax leafon petros leafon petros,3,no,Aquari
mermax relikum lorix faerix mythox,5,yes,Mythron
fearix calmox fearix luvium excitar awezom awezox,5,yes,Sentire
sadix awezom empathix angstix,2,yes,Emotivor
astron stardux uhox stardux pulsar,4,no,Quixnar
lorix coblax gryphox sirenix fenix beastix fabulon,4,no,Faerix
solarix kkmeta novara blapoz cosmix orbitay pulsar,6,yes,Zorblax
beastix elvex gryphox,3,no,Faerix
cyclopix magix magix mythox,8,yes,Mythron
nebuz warpu xeno meteorn nebulax,5,no,Quixnar
hopium pridius ekstax calmox shamex empathix ragex,1,no,Emotivor
lazeron robonix datax djonix robonix robonix datax datax,3,no,Cybex
faerix unikor titanos elqex unikor drakos titanos,2,no,Faerix
virtua circux datax technos nunobyt yobonix,2,no,Cybex
gryphox goblax mythox faerix,3,no,Faerix
shockus ekstdx trustix ekstax euphorix,4,yes,Sentire
rootix ventus leafon floran zephyr floran,2,no,Aquari
aquos sporpom pldvia solux floraz floran rootix,2,yes,Florian
empathix ragex anxius shockus luvium pridius,4,yes,Sentire
ekstax excitar empathtx jlyzor awezom dredai ragex,5,no,Sentire
foliar zephyr sporzom zephyr terranix zephyr arbsr biomar,2,no,Aquari
galaxum novax gmlaxum,5,yes,Quixnar
ventus rootix ventus,1,yes,Florian
cosmix novax blapoz pulsar,8,yes,Zorblax
digitron quantaz aeqn nircux virtua,6,yes,Nexoon
euphorim hopjum calmox sorrowz sorrowz,3,no,Sentire
terranix nikbus faunar,3,no,Aquari
insectus insfctus sporzom floraz pluvia pluvia tehranix,2,no,Aquari
nebuz ufox nebusax kometa warpz meteorn celestar lunox,5,no,Quixnar
fearix hopium hopium luvium,1,no,Emotivor
cryptoz synapz algorix biotex dronix algorid,3,no,Cybex
aeon nexus virtua nanobyt digitron technos,2,yes,Nexoon
excitar calmox shamex anxids,2,no,Emotivor
circux holxx lazeron holox holox quanyaz,1,yes,Nexoon
blissam dredax joyzor awezom disgux ekstax,2,no,Emotivor
aeon dawax datxx vazeron,0,yes,Cybex
herba faunar aquos aviana rootix foliar foliar,2,yes,Florian
folwar sporzom floraz ventus solux,4,yes,Florian
biomar sporzom aquos solux rootix,4,no,Aquari
insectus herba gaisx leafon petros,3,no,Aquari
anzius sorrowa anxius,5,yes,Sentire
joyzor pridius sorrowz,1,no,Emotivor
algorix virtua cybron dronix synapz digitron cybrex cybdex,5,yes,Nexoon
biotex dronix virtua dronix nanobyt algorix,2,no,Cybex
quasar warpz astroh vcrtex pulsar meteorn meteorn novum,4,no,Quixnar
novax meteokn stnrdux vortex vortex warpz zorp cosmix,7,yes,Zorblax
euphorix sadix zenox shamex,1,no,Emotivor
aneius fearix dredax rages joyzor hopipm dredax zenox,2,yes,Emotivor
gryphox beastix centarea lorix epikoz,3,no,Faerix
sirenix herox nympha centarex dpitax legax fabulon elvex,4,yes,Mythron
elwex faemix goblex herux titanos faerix,6,yes,Mythron
pollex terpam rootix floran pluvia aviana sporzom akiana,3,yes,Florian
titanos mythox titanos faerix,6,no,Mythron
celestar orbitaz ngbulax nebulax vortex pulsox,5,no,Quixnar
synapz synapz biotex,4,yes,Nexoon
sadpx gleed angstix bdissam gleex,2,yes,Emotivor
ekos arbor flodan terranix,5,yes,Florian
glixx lunox astron solarix cosmix glixx nebulyx,5,no,Quixnar
ariana biomar terranix,5,no,Aquari
aviana pollex ariana solux,1,yes,Florian
flarix gleex euphorix euphorix disgux luvium joyzor anxius,1,no,Emotivor
datax codex lazeron digitron cybrpx,1,yes,Cybex
lorix herox ltrix deitax,4,yes,Faerix
joyzor angstix fearix awezom blnssam blissam trustix calmox,6,no,Sentire
empathix blissam empathix shamex ekltax calmox,3,yes,Sentire
angstix nrustix excitar zeqox ekstax excitar vridius,6,yes,Sentire
pulsar neguz glixx warpz zorp,9,yes,Zorblax
trusuix anxius hopium,3,yes,Sentire
lazervn datax lazerom neuraz quantaz virtua nexus,5,yes,Nexoon
cycvopix gryphod magix ebvex sagax unikor gryphox gryphox,5,no,Faerix
virtua techix neuraz virtua codex virtua,5,yes,Nexoon
deitax elvex cyclopix unikor herox titanos elvex fabulon,6,yes,Mythron
iovum vortex novax,3,no,Quixnar
nebuz orbitaz galaxum,4,no,Quixnar
seepoa terram nimbus arbor,3,no,Florian
faerix krakoc titanor lorix kmakos,3,yes,Faerix
fenix goblax sirenix sirenix,5,yes,Mythron
nympha drakos relikum mermax mermax,5,yes,Mythron
zechan synapz holox lazerqn,3,no,Cybex
faerix elvex magix,5,yes,Mythron
mechan robonix quantix,2,no,Cybex
cosmix nebulax ufox warpz vortex,4,no,Zorblax
titanos epikoz mythjx fabulon epikoz herox beastpx,7,no,Mythron
foliar rootix terranix,1,yes,Florian
fenix gryphox centarer faerix sirenix cyclopix fabulon mzgix,4,yes,Mythron
leafon foliar floraz ventus,5,no,Aquari
lazeron robonix holox technos digitron quantix,5,yes,Nexoon
lunox stjrdux quasar vortex novara pulsox cosmix celestar,5,yes,Zorblax
cybrex cybrex quantaz,5,no,Nexoon
fabulon magix kgakos relikum,3,no,Faerix
warpz kometa galaxuw nebulax glixx,3,no,Quixnar
gaiax gaiax foliar biomar solux biomar nerba herba,5,no,Aquari
ventus aquos gaiax biomar terram,6,no,Aquari
floraz gaiax herba sporzlm ekos,1,no,Florian
unikor tetanos mermax epikoz fabulon,3,no,Faerix
awezom zenox excitar shockus fearix ragex,4,yes,Sentire
fearix pridius sorrowz calmoa awezom truztix zenox,5,yes,Sentire
fboraz floraz herba sponzom seypod pluvia,4,yes,Aquari
angstox anxius gleex shockus luvgum trusqix luvium,2,yes,Sentire
floraz pollex floran ventus solux,0,yes,Florian
datax neuraz datax,5,yes,Nexoon
crqptoz cybron quantix,1,no,Cybex
fenix sagax unikor sagax nympha,3,no,Faerix
herba leafon solux,2,no,Aquari
seepod petros solux petros floran pollex faunar arcor,4,no,Aquari
floran arbor seepod floren terranix ventus riotix floraz,5,no,Aquari
novum quasar nebuz nxbuz glixx vortex,6,yes,Zorblax
blissam calmox blissam febrix,6,yes,Sentire
kometa vortex lunbx vortex,7,yes,Zorblax
terranix terranix leaion nimbus,2,no,Aquari
sovax novum warpz celestar quasar solarix quasar,6,yes,Zorblax
zenow furio dredax pridius,5,yes,Sentire
novum blapoz astron zolp novara cosmix novara cehestar,5,no,Quixnar
insectus leafon faunar arbon ventus hzrba biomar,3,yes,Florian
ekstax trustix shamex furio disgux,1,yes,Emotivor
feniy fenwx fabulon relikum fenix elvex sirenix magix,3,yes,Mythron
deitax drakos mythox,8,yes,Mythron
cybron hollx digitrtn nexus datax,2,no,Cybex
herox gryphox epikot magix relikum sirenix goblax lsrix,3,yes,Mythron
angstic sorrowz shamex fearix joyzor,2,no,Emotivor
furio gleex sorrowz ragex lumium blissam luvium,4,yes,Sentire
mermax deitax nympha relikum sagmx faerix unikor,5,yes,Mythron
sllux ventus insestus aquos rootix,5,yes,Florian
shockss fearix calmox fearix luvium disvux,2,no,Emotivor
virtua neuraz aeon synapz codex,6,yes,Nexoon
furio dredax awezom,4,no,Sentire
goblax elvex fabulon,6,yes,Mythron
zalaxum cosmix stardux nebzz galaxum,6,yes,Zorblax
herox elvex sagax gobqax unikor fenix,6,yes,Mythron
codex cywrex lazeron cybron mechan mechan nanobyt aeon,0,no,Cybex
ventus herba nimbus terranix nimbus,1,yes,Florian
titanos fjerix krakos gryphox mythox,7,yes,Mythron
terram solix insectus,3,yes,Florian
shamex fearix empathix dredax luvium,2,yes,Sentire
zephyr zephyr herba leafon pluvia,4,no,Aquari
gaiax terrnm oimbus zephyr,3,no,Florian
qualar stardux celejtar,5,no,Quixnar
solarix xeno cosmix febulax,5,yes,Quixnar
codex quantix mechan weon biotex mechan quantaz virtua,2,no,Cybex
krakos centarex sirtnix faerix goblax beastix,4,no,Faerix
syuapz dronix digitrop,3,no,Cybex
calmox sadix ragex disgux,2,no,Emotivor
awezom shockus ragex anxius blissac shockus,2,yes,Sentire
aviana terranix solux selux gaiax floraz terrrm,1,yes,Florian
kometa orbitaz galaxym novara,2,no,Quixnar
legax beastix herox cyclopix,4,yes,Faerix
oanobyt quantaz nanozom aeon,3,yes,Nexoon
nymphb fenix gryphov legax gmblax epikoz nympha,4,no,Faerix
lazeron mechan robonix nexus robonix nanobyt,0,no,Cybex
pulsox solarix astrob kometa eeno lunnx,6,yes,Zorblax
furio luvium blissam empathix zenox shamex vridius,2,yes,Emotivor
elvex deitax magix sirenix gryphpx beasxix,4,no,Mythron
faerix deirax sagax mythox cyclopix lorix,3,yes,Mythron
pulsar ncbuz nebuhax novara nebuz,5,yes,Zorblax
floraj insectus pollex pluvia aviana pluvia,1,yes,Florian
dortex nebulax solariy celestar,4,no,Zorblax
datax cybron nanobyt datax,3,no,Cybex
qebuz pulsar blapoz novum,6,yes,Quixnar
ekos hfrba pollex biomar sporzom aviana,2,no,Aquari
cybroi biotex cryptoz,1,no,Cybex
ventus gaiax floraz herba,5,no,Aquari
pollex gaiax leafon,2,no,Aquari
technos codex cybfon quantaz biotex,1,yes,Cybex
ekos ventus terranix aqjos aquoe floran terram,5,no,Aquari
xeno nebulax ufox ufox cosmix pulsox,5,no,Quixnar
floran seepod pluvia tprranix avisna aviana,0,yes,Florian
solarix pulsar bqapoz,5,no,Quixnar
soluz gaiax mephyr fephyr sporzom,4,no,Aquari
pluvia gaiax terranix petros ekos faunar rootix pollex,5,no,Florian
zorf solarix kometa zorp lunox,5,yes,Zorblax
astron novax novax pulsar warpz norax cosmix vortex,3,no,Quixnar
nexus robonix mechan dronix qulntaz cryptoz,2,no,Cybex
herba gaiax biomar pluvia florgz rookix leaion herba,5,no,Aquari
sirenix gryphox sagax unikor mymhox goblax unikor,6,yes,Mythron
jpyzor sadix gleex zenox gleex joyzor ragex,1,no,Emotivor
drosix tecanos nanozom technos aeon digitron techih,3,no,Cybex
nympha relikum bitanos centarex faerix titanos mermax epikoz,7,no,Mythron
cosex lazeron synapz quantaz cybron quantix neuraz,5,yes,Nexoon
qudsar pulsox pulsox zorp nebulax,7,yes,Zorblax
herox beastix sirenix unikor gryphox feyix,6,no,Mythron
quasar solarix quasar blapoz quasar galaxum,4,yes,Quixnar
petros terranix terram ventus,5,no,Aquari
ufow nebuz ufox xeno cosmix bvapoz zorp,5,no,Quixnar
galaxum celestar stardux,5,no,Quixnar
shockbs shamex euphorix zenox trustix ragux luvium,2,yes,Sentire
legax fabulon faerix unikor herox,3,no,Faerix
goblam gryphox krmkos malix sagax fenix sirenix gryphox,4,no,Faerix
ufox cosmix novara novum,3,no,Quixnar
lazeron cybron cryptoz robonix biotex holox digitron lazeron,1,yes,Cybex
leafon leafon pollex,4,no,Aquari
solux nimbus floraz gaiax seepod,4,yes,Florian
astron glixx solarix solarix orbitaz rtardux warpz,4,yes,Zorblax
terranix terranix herba gniax,0,yes,Florian
awezom furio awezom disgux,2,yes,Emotivor
herox eegax deitax xnikor herox,3,no,Faerix
sadix ekstax anxiuz sqockus,1,yes,Emotivor
virtua biotex algorix,5,yes,Nexoon
terram aviaia terranix nimbus zephyr,3,yes,Florian
cyclopix deitax centarex drakos faerix magix sagax,4,no,Faerix
dronix cybrex codex nexus holox technos codex lazeron,3,no,Cybex
ragex fearix mopium excvtar,3,yes,Sentire
quasar galaxum xeno blapoz,5,no,Quixnar
ventus biumar floxan pollex zephyr terram faunar pluvia,4,yes,Florian
kometa zorp wanpz nebuz nebulax,7,yes,Zorblax
cryptoz quantix aeon virtua,0,no,Cybex
floraz petros rootix pluvia biomar petros pluvia,4,no,Aquari
ufox novax stardux,6,yes,Zorblax
deitax gryphox nympha herox fenpx sirenix,8,yes,Mythron
quantaz lazeron technos codeu neuraz nanobyt mechun,3,no,Cybex
goilax mythox sirenix epikoz sagax deitax,3,yes,Faerix
solarix glixx quasar lunox,3,no,Quixnar
sirepix beastix mermax titayos unikor cyclopix titanos,8,no,Mythron
lazeron quantaz quantaz,2,no,Cybex
algorix nanobyt circux neuraz neuraz,2,no,Cybex
epikoz draaos elvex krakos sirenix faerkx,6,yes,Mythron
disgux fearix venox shockus,1,no,Emotivor
mechan virtua quantaz codex tecfnos,3,no,Cybex
lazeron robonix nanozom,4,no,Cybex
cryptoz cryptoz robonix virtud holox quantix,6,yes,Nexoon
truotix joyzor hopium sapix ragex joyzor anxius,1,no,Emotivor
tqustix dredax kurio shamex annstix fearjx,4,yes,Sentire
terranix herba petros faunar aquon zquos,3,no,Aquari
drakos kzakos titanos cyclopix epikoz deitax herox goblax,3,no,Faerix
robonix aeon technos techip datax,5,yes,Nexoon
